Nav_Date,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
15-05-2020,176.45,26.43,166.233,361.831,174.144,34.14,195.427,101.77,205.36,35.01,49.052,42.086,107.62,31.7,83.519,21.732,25.6,42.129,27.579,16.095,18.12,55.438,323.35,10.06,182.588,85.458,8.117,251.67,102.257,46.286,581.53,10.56,34.413,480.863,66.657,28.903,123.247
18-05-2020,170.35,25.83,158.674,347.882,168.437,32.91,188.473,98.346,197.47,34.03,47.384,40.695,104.02,30.602,80.546,20.951,24.96,40.873,26.711,15.568,17.52,53.644,311.34,9.82,175.866,82.385,7.831,242.17,99.013,44.633,558.66,10.3,33.11,462.469,64.426,27.8,119.061
19-05-2020,172,26.04,160.252,349.901,169.562,33.28,189.523,99.199,198.37,34.2,47.278,40.632,104.08,30.663,80.825,20.972,24.85,40.489,26.763,15.581,17.54,53.648,314.14,9.94,177.263,82.829,7.881,246.21,99.006,45.17,565.72,10.39,33.415,462.373,64.748,27.822,119.884
20-05-2020,175.4,26.48,164.067,356.91,173.074,33.94,192.938,101.046,201.11,34.76,48.176,41.353,105.6,31.158,82.059,21.2,25.16,41.141,27.001,15.762,17.78,54.365,320.77,10.03,179.978,84.323,8.023,249.84,100.732,45.889,576.22,10.57,34.118,472.189,66.005,28.344,122.56
21-05-2020,175.57,26.54,164.34,358.703,173.864,34.21,193.769,101.762,201.81,34.95,48.378,41.62,106.42,31.318,82.816,21.302,25.25,41.377,27.224,15.877,17.79,54.721,321.1,10.12,180.56,84.98,8.058,251.25,100.87,46.349,578.66,10.59,34.183,474.731,66.27,28.498,123.186
22-05-2020,174.47,26.4,162.764,354.403,172.727,33.98,192.718,101.324,201.32,34.74,48.327,41.461,106.09,31.341,82.641,21.148,25.24,41.117,27.148,15.846,17.71,54.602,318.86,10.05,179.652,84.425,8.018,249.84,100.877,46.112,573.75,10.53,33.953,469.738,65.901,28.374,122.496
26-05-2020,174.71,26.16,162.914,355.321,172.531,34.04,192.985,101.187,203.4,34.86,48.718,41.68,107.71,31.747,83.2,21.253,25.37,41.321,27.16,16.033,17.9,55.102,320.04,10.06,179.488,84.926,8.048,251.18,102.024,46.306,573.7,10.44,33.891,471.224,65.857,28.604,122.392
27-05-2020,179.08,26.59,167.229,366.795,177.019,34.86,197.865,103.529,204.08,34.77,48.968,41.923,108.09,31.86,83.214,21.382,25.45,41.53,27.326,16.015,18.07,55.424,324.37,10.14,182.739,86.673,8.171,255.16,103.678,47.014,586.49,10.59,34.442,485.39,67.217,29.207,123.63
28-05-2020,182.22,26.95,170.719,372.787,180.386,35.52,201.509,105.219,206.48,35.22,49.63,42.487,109.18,32.276,84.433,21.744,25.7,42.1,27.846,16.271,18.27,56.35,329.24,10.32,185.827,87.752,8.303,259.45,105.191,47.8,595.7,10.73,34.956,492.772,68.322,29.701,125.969
29-05-2020,184.32,27.09,172.476,377.777,182.257,35.92,202.936,106.197,208.27,35.43,50.265,43.035,110.7,32.634,85.518,22.097,26.01,42.77,27.95,16.514,18.53,56.804,331.85,10.46,187.489,88.862,8.386,262.02,106.206,48.513,602.83,10.79,35.239,499.566,69.138,29.994,127.446
01-06-2020,188.02,27.62,176.17,386.323,186.435,36.65,207.148,108.366,213.67,36.28,51.625,44.579,112.72,33.403,87.903,22.799,26.64,44.221,28.9,17.031,19.02,58.28,341.02,10.66,191.986,90.857,8.582,269.61,108.275,49.54,615.38,11,36.104,511.142,70.924,30.554,130.611
02-06-2020,190.6,28.02,178.32,390.245,188.743,37.1,209.673,109.675,217.15,36.73,52.036,45.008,113.73,33.763,88.842,23.235,27.12,45.024,29.513,17.317,19.56,59.877,345.74,10.8,194.544,91.849,8.682,273.17,109.261,50.325,622.56,11.17,36.732,515.764,71.883,30.903,132.824
03-06-2020,191.99,28.2,179.969,393.187,190.458,37.32,211.289,110.558,219.21,36.93,52.08,45.219,114.09,33.888,89.302,23.569,27.31,45.473,30.043,17.569,19.77,60.404,347.02,10.84,195.817,92.514,8.725,274.18,109.829,50.503,626.31,11.24,37.066,519.804,72.426,31.222,133.668
04-06-2020,191.23,28.15,179.607,393.343,189.754,37.38,211.117,110.399,218.8,36.81,51.758,44.768,113.48,33.926,89.018,23.474,26.98,45.518,30.171,17.512,19.72,60.373,346.01,10.81,194.658,92.715,8.702,274.17,109.944,50.449,626.9,11.21,36.795,520.696,72.443,31.245,132.797
05-06-2020,193.73,28.38,182.53,402.409,191.35,37.99,213.912,111.686,222.97,37.21,52.43,45.65,115.02,34.585,90.151,23.985,27.31,46.388,31.014,17.841,20.19,61.636,350.53,10.93,198.202,94.941,8.798,279.96,111.389,51.44,636.69,11.31,37.342,534.64,73.254,31.594,134.149
08-06-2020,194.29,28.4,182.304,404.524,191.876,38.02,214.508,111.818,223.95,37.03,52.126,45.771,115.19,34.634,90.156,24.19,27.73,46.767,31.299,17.885,20.41,62.132,351.32,10.98,199.41,95.593,8.812,279.78,111.47,51.834,637.65,11.31,37.359,537.267,73.579,31.611,134.458
09-06-2020,191.88,28.05,179.901,399.007,189.598,37.47,212.074,110.606,222.68,36.77,51.923,45.422,114.8,34.458,89.719,23.941,27.34,46.567,30.85,17.696,20.21,61.761,347.08,10.91,196.784,94.543,8.717,276.53,110.43,51.345,632.51,11.18,36.991,529.993,72.54,31.269,133.357
10-06-2020,193.24,28.17,180.39,400.943,190.971,37.55,213.083,111.025,224.98,37.01,52.47,45.989,115.39,34.617,90.558,23.952,27.52,46.876,30.993,17.776,20.29,61.907,349.66,10.97,198.614,95.176,8.781,278.09,111.161,51.623,634.72,11.22,37.214,533.242,72.963,31.408,134.295
11-06-2020,189.32,27.72,176.919,391.69,186.794,36.79,209.261,108.817,221.45,36.67,51.82,45.318,114.15,34.214,89.482,23.76,27.31,46.386,30.608,17.618,20.11,61.205,343.42,10.88,195.361,93.266,8.631,272.98,109.646,50.743,622.43,11.04,36.572,521.065,71.538,30.895,132.128
12-06-2020,190.64,27.88,178.729,393.763,188.377,37.02,210.892,109.627,223.06,36.84,52.123,45.363,114.84,34.469,90.29,23.749,27.2,46.428,30.371,17.647,20.08,61.325,347.53,10.86,196.669,94.005,8.689,273.54,110.333,50.994,627.24,11.1,36.917,522.918,72.328,31.205,133.155
15-06-2020,187.75,27.52,176.262,387.315,185.657,36.45,207.792,108.292,221.13,36.55,51.516,44.906,113.83,34.068,89.118,23.679,27.03,46.548,30.289,17.58,20.03,61.222,342.88,10.77,194.269,92.42,8.564,268.92,109.02,50.306,619.15,10.95,36.266,513.485,71.392,30.777,131.09
16-06-2020,189.33,27.78,178.194,389.386,187.756,36.77,209.594,109.285,221.09,36.7,51.852,45.173,114.03,34.209,89.449,23.516,27.11,46.596,30.472,17.523,20.04,61.52,345.08,10.86,195.537,92.64,8.645,270.35,109.989,50.309,624.24,11.06,36.632,514.989,71.906,31.051,132.624
17-06-2020,189.53,27.71,178.302,388.097,187.608,36.83,209.681,109.196,223.39,36.72,52.054,45.563,114.51,34.36,90.148,23.793,27.39,46.828,30.691,17.602,20.32,61.779,344.8,10.92,196.42,92.521,8.651,270.26,110.181,50.445,624.87,11.02,36.689,512.91,72.079,31.004,132.574
18-06-2020,192.85,28.07,180.852,397.288,190.921,37.41,212.995,110.814,226.22,37,52.651,46.095,115.62,34.622,91.133,24.236,27.8,47.564,31.081,17.85,20.6,62.442,349.2,11.01,199.774,94.317,8.77,274.8,111.246,51.296,632.69,11.16,37.361,524.935,73.229,31.395,134.141
19-06-2020,195.57,28.42,183.083,403.253,193.724,37.86,215.963,112.174,228.92,37.32,53.115,46.766,117.03,34.965,91.552,24.549,27.99,48.209,31.448,18.21,20.92,63.416,356.23,11.09,202.598,95.889,8.89,277.6,112.59,51.725,640.38,11.29,37.83,532.06,74.668,31.847,134.734
22-06-2020,197.75,28.64,184.388,409.133,194.927,38.15,217.231,113.199,231.41,37.55,53.546,47.581,118.44,35.425,92.408,24.876,28.3,48.88,31.989,18.533,21.24,64.227,360.23,11.15,204.377,96.985,8.954,280.77,113.133,52.308,647.89,11.38,38.201,541.628,75.351,32.034,136.035
23-06-2020,201.39,29.07,187.821,416.078,197.937,38.75,220.48,114.758,234.58,38.01,54.107,48.218,120.02,35.972,93.83,25.316,28.37,49.675,32.482,18.877,21.74,65.316,366.29,11.33,207.764,98.952,9.076,284.99,114.593,53.053,656.5,11.56,38.786,552.467,76.575,32.548,138.66
24-06-2020,196.97,28.66,184.135,407.525,194.281,38.07,217.543,113.008,232.89,37.64,53.524,47.769,119.26,35.569,92.762,24.958,27.93,49.006,32.156,18.642,21.38,64.577,359.41,11.25,204.033,97.23,8.929,278.35,113.738,52.237,643.14,11.41,38.088,540.794,75.112,32.179,137.116
25-06-2020,197.02,28.65,183.688,407.026,194.184,37.98,217.614,112.798,234.44,37.9,53.824,48.207,120.04,35.778,93.702,25.033,27.99,49.156,32.107,18.715,21.51,64.772,361.55,11.23,204.976,97.524,8.953,278.89,114.011,52.463,644.6,11.41,38.165,541.737,75.381,32.212,137.102
26-06-2020,198.41,28.77,185.281,410.636,195.892,38.37,219.961,113.718,235.13,37.96,54.092,48.398,120.39,35.816,93.771,25.074,28.24,49.41,32.37,18.814,21.51,64.826,362,11.24,206.502,98.513,8.999,281.13,114.769,52.833,645.89,11.45,38.297,544.869,75.782,32.485,137.726
29-06-2020,196.81,28.69,184.249,404.983,194.71,38.06,218.458,112.815,232.46,37.63,53.493,47.82,119.03,35.416,92.73,24.763,27.87,49.026,32.1,18.61,21.12,64.077,359.77,11.1,204.232,97.01,8.925,277.78,114.075,52.096,640.36,11.42,37.993,535.775,75.341,32.213,136.826
30-06-2020,197.12,28.69,185.016,403.367,195.146,38.07,218.806,112.778,232.23,37.53,53.542,47.684,119.05,35.422,92.587,24.571,27.84,48.812,31.952,18.518,21.06,63.927,360.68,11.12,204.809,96.935,8.932,277.76,114.536,52.171,641.34,11.42,38.158,534.169,75.362,32.308,136.574
01-07-2020,198.86,28.82,185.793,408.91,197.181,38.39,220.499,113.69,232.78,37.55,53.666,47.687,118.93,35.485,92.716,24.623,27.91,49.136,32.185,18.575,21.13,64.311,363.03,11.22,206.419,97.694,8.977,279.46,114.835,52.629,645.42,11.45,38.4,540.564,75.888,32.469,137.193
02-07-2020,200.68,29.01,187.696,412.493,199.099,38.8,223.181,114.868,236.29,37.82,54.004,48.037,119.88,35.876,93.507,24.837,28.15,49.544,32.354,18.684,21.34,64.908,365.86,11.3,207.734,98.439,9.062,282.28,115.738,53.187,650.4,11.53,38.607,544.791,76.525,32.798,138.72
03-07-2020,201.67,29.11,188.597,415.275,200.347,39.03,224.701,115.659,236.63,37.93,54.253,48.295,120.43,36.104,94.206,24.946,28.28,49.729,32.44,18.71,21.41,65.273,367.46,11.31,208.845,99.091,9.118,283.96,116.517,53.671,653.68,11.57,38.852,547.625,76.91,33.039,139.157
06-07-2020,203.88,29.47,191.197,419.985,202.431,39.52,227.808,116.902,239.28,38.35,54.755,48.89,121.56,36.653,95.596,25.256,28.72,50.304,32.785,18.97,21.74,65.789,374.44,11.43,211.189,100.548,9.238,287.32,118.38,54.278,661.27,11.71,39.221,555.033,77.936,33.522,141.087
07-07-2020,204.93,29.79,192.37,418.479,203.966,39.62,228.585,117.57,240.61,38.57,55.107,49.006,122.03,36.835,96.033,25.468,28.88,50.64,33.074,18.961,21.92,66.094,377.39,11.64,212.011,100.435,9.272,288.59,118.251,54.571,665.5,11.82,39.467,553.206,78.501,33.504,143.051
08-07-2020,203.3,29.42,190.269,416.826,201.632,39.27,226.723,116.36,238.82,38.34,54.538,48.761,121.16,36.55,95.37,25.363,28.79,50.389,32.957,18.904,21.93,66.071,373.52,11.49,210.666,100.148,9.206,287.63,117.426,54.135,662.49,11.69,39.068,551.583,77.579,33.28,141.716
09-07-2020,205.12,29.68,191.717,420.116,203.55,39.6,228.365,117.426,239.67,38.52,54.819,48.912,121.53,36.672,96.033,25.597,28.99,50.688,33.239,18.987,22.28,66.447,377.24,11.59,212.086,100.649,9.273,289.68,117.806,54.435,668.17,11.78,39.423,555.408,78.393,33.423,143.078
10-07-2020,204.09,29.63,190.875,417.205,202.705,39.43,227.676,116.733,237.97,38.46,54.577,48.693,120.97,36.498,95.691,25.483,28.92,50.482,33.112,18.87,22.21,66.096,376.08,11.56,211.031,99.924,9.222,287.44,117.547,53.951,664.66,11.74,39.2,550.809,78.137,33.303,142.389
13-07-2020,205.08,29.6,191.11,417.674,203.153,39.58,228.326,117.006,238.36,38.18,54.546,48.508,121.09,36.463,95.641,25.465,28.77,50.07,32.997,18.827,22.16,65.961,376.18,11.48,211.435,99.956,9.216,287.65,117.973,54.066,666.94,11.71,39.089,550.48,78.267,33.373,142.422
14-07-2020,201.78,29.2,188.575,409.518,199.881,38.9,225.066,115.345,236.5,38,54.28,48.192,120.3,36.269,94.843,25.104,28.66,49.662,32.602,18.715,21.84,65.413,371.53,11.38,209.149,98.416,9.113,283.79,117.039,53.295,658.33,11.57,38.73,538.555,77.184,32.922,140.865
15-07-2020,201.6,29.19,188.498,408.967,199.946,38.95,224.98,115.523,236.26,38.05,54.335,48.161,120.1,36.11,94.9,25.003,28.57,49.887,32.781,18.708,21.87,65.35,369.48,11.43,208.238,97.87,9.095,283.39,116.773,53.16,658.81,11.57,38.533,537.951,77.043,32.894,140.905
16-07-2020,204.04,29.53,190.444,412.888,202.298,39.35,228.132,116.759,238.25,38.21,55.189,48.435,121.09,36.296,95.368,25.037,28.51,50.153,32.857,18.697,21.87,65.361,370.42,11.45,210.256,98.874,9.183,285.67,118.03,53.816,665.61,11.69,38.833,543.547,77.902,33.233,142.212
17-07-2020,206.9,29.85,193.108,420.862,205.248,39.92,231.993,118.204,241.03,38.55,55.684,48.946,121.89,36.72,96.624,25.403,28.71,50.654,33.13,18.816,22,65.958,375.25,11.51,212.718,100.973,9.304,289.44,119.262,54.435,673.78,11.81,39.323,554.262,78.963,33.801,143.903
